query,entity,label
when was the last time capulin erupted,"60,000 years ago",DATE
What year did the Capulin Volcano in New Mexico Last errupt,The Capulin Volcano,ORG
What year did the Capulin Volcano in New Mexico Last errupt,New Mexico,GPE
What year did the Capulin Volcano in New Mexico Last errupt,"about 60,000 years ago",DATE
What year did the Capulin Volcano Last errupt,"60,000 years ago",DATE
In Arizona what dessert is the Organ Pipe Cactus Monument found in,The Organ Pipe Cactus Monument,ORG
In Arizona what dessert is the Organ Pipe Cactus Monument found in,the Sonoran Desert,LOC
In Arizona what dessert is the Organ Pipe Cactus Monument found in,United States,GPE
In Arizona what dessert is the Organ Pipe Cactus Monument found in,Arizona,GPE
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,The Organ Pipe Cactus National Monument,ORG
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,the Sonoran Desert,LOC
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,Arizona,GPE
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,United States,GPE
Witch desert was the Organ Pipe Cactus in,The Organ Pipe Cactus,ORG
Witch desert was the Organ Pipe Cactus in,the Sonoran Desert,LOC
Witch desert was the Organ Pipe Cactus in,California,GPE
Witch desert was the Organ Pipe Cactus in,Arizona,GPE
Witch desert was the Organ Pipe Cactus in,Mexico,GPE
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,the Organ Pipe Cactus National Monument,ORG
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,Arizona,GPE
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,Mexico,GPE
when was the last time the capulin volcano erupted ,the Capulin Volcano,ORG
when was the last time the capulin volcano erupted ,"about 60,000 years ago",DATE
how many people died in the johnstown flood,The Johnstown Flood,ORG
how many people died in the johnstown flood,"May 31, 1889",DATE
how many people died in the johnstown flood,Johnstown,GPE
how many people died in the johnstown flood,Pennsylvania,GPE
how many people died in the johnstown flood,USA,GPE
how many people died in the johnstown flood,the South Fork Dam,LOC
how many people died in the johnstown flood,"over 2,200",CARDINAL
what is the desert in arizona that the organ pip cactus is held in,Arizona,GPE
what is the desert in arizona that the organ pip cactus is held in,the Organ Pipe Cactus,ORG
what is the desert in arizona that the organ pip cactus is held in,the Sonoran Desert,LOC
organ pipe cactus national monument,Organ Pipe Cactus National Monument,ORG
organ pipe cactus national monument,Arizona,GPE
organ pipe cactus national monument,United States,GPE
organ pipe cactus national monument,"over 330,000 acres",QUANTITY
organ pipe cactus national monument,UNESCO,ORG
what country is the roosevelt campobello in,Roosevelt Campobello International Park,PERSON
what country is the roosevelt campobello in,Canada,GPE
what country is the roosevelt campobello in,Campobello Island,LOC
what country is the roosevelt campobello in,New Brunswick,GPE
what country is the roosevelt campobello in,Canada,GPE
what country is the roosevelt campobello in,the United States,GPE
everglades national park,National Park,GPE
everglades national park,Florida,GPE
everglades national park,USA,GPE
everglades national park,the United States,GPE
everglades national park,Everglades,LOC
what country  is the Roosevelt Campobello international park in,The Roosevelt Campobello International Park,ORG
what country  is the Roosevelt Campobello international park in,Canada,GPE
what country  is the Roosevelt Campobello international park in,New Brunswick,GPE
what country  is the Roosevelt Campobello international park in,the United States,GPE
what country  is the Roosevelt Campobello international park in,Canada,GPE
what country  is the Roosevelt Campobello international park in,Campobello Island,LOC
what country  is the Roosevelt Campobello international park in,the United States,GPE
what country  is the Roosevelt Campobello international park in,Canada,GPE
what is the name of the organ pipe cactis desert,Stenocereus thurberi,PERSON
what is the name of the organ pipe cactis desert,the Sonoran Desert,LOC
what is the name of the organ pipe cactis desert,Arizona,GPE
what is the name of the organ pipe cactis desert,California,GPE
what is the name of the organ pipe cactis desert,Mexico,GPE
when was last time time volcano erupted in new mexico,New Mexico,GPE
when was last time time volcano erupted in new mexico,thousands of years,DATE
when was last time time volcano erupted in new mexico,the Capulin Volcano National Monument,ORG
when was last time time volcano erupted in new mexico,New Mexico,GPE
when was last time time volcano erupted in new mexico,"about 60,000 years ago",DATE
when was last time capulin erupted,The Capulin Volcano,ORG
when was last time capulin erupted,New Mexico,GPE
when was last time capulin erupted,"approximately 60,000 years ago",DATE
how many people died during pennsylvania flood,Pennsylvania,GPE
