User Query,ChatGPT Result,Negative,Neutral,Positive,Compound
when was the last time capulin erupted,"The Capulin Volcano last erupted over 60,000 years ago, and it is currently considered to be dormant.",0.0,1.0,0.0,0.0
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano in New Mexico last erupted about 60,000 years ago. It is currently considered to be dormant, meaning that it is not currently erupting but could potentially erupt again in the future.",0.0,1.0,0.0,0.0
What year did the Capulin Volcano Last errupt,"The Capulin Volcano last erupted over 60,000 years ago. It is now considered dormant.",0.0,1.0,0.0,0.0
In Arizona what dessert is the Organ Pipe Cactus Monument found in,"The Organ Pipe Cactus Monument is found in the Sonoran Desert, which is a desert region in the southwestern United States, including the state of Arizona.",0.0,0.896,0.104,0.4215
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,"The Organ Pipe Cactus National Monument is located in the Sonoran Desert of southwestern Arizona, United States.",0.0,0.851,0.149,0.4215
Witch desert was the Organ Pipe Cactus in,"The Organ Pipe Cactus is found in the Sonoran Desert, which spans across parts of California, Arizona, and Mexico.",0.0,1.0,0.0,0.0
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,The desert you are referring to is called the Organ Pipe Cactus National Monument. It is located in southern Arizona and shares a border with Mexico.,0.0,0.916,0.084,0.296
when was the last time the capulin volcano erupted ,"The last known eruption of the Capulin Volcano was about 60,000 years ago. Since then, the volcano has been dormant and is now considered extinct.",0.0,1.0,0.0,0.0
how many people died in the johnstown flood,"The Johnstown Flood occurred on May 31, 1889, in Johnstown, Pennsylvania, USA. It was caused by the failure of the South Fork Dam, which resulted in a massive flood that killed over 2,200 people.",0.201,0.799,0.0,-0.8316
what is the desert in arizona that the organ pip cactus is held in,The desert in Arizona where the Organ Pipe Cactus is found is the Sonoran Desert.,0.0,1.0,0.0,0.0
organ pipe cactus national monument,"Organ Pipe Cactus National Monument is a national park located in southern Arizona, United States. It is named after the organ pipe cactus, which is a type of cactus that grows in the area. The monument covers an area of over 330,000 acres and is home to a diverse range of plant and animal species. It is also a UNESCO biosphere reserve and a designated wilderness area. Visitors to the park can enjoy hiking, camping, wildlife watching, and stargazing, among other activities.",0.0,0.926,0.074,0.7184
what country is the roosevelt campobello in,"Roosevelt Campobello International Park is located in Canada, on Campobello Island in the province of New Brunswick. It is a joint park between Canada and the United States.",0.0,0.903,0.097,0.4215
everglades national park,"Everglades National Park is a national park located in southern Florida, USA. It is the largest subtropical wilderness in the United States and is home to a diverse array of wildlife, including alligators, panthers, and manatees. The park offers a variety of activities, including hiking, camping, boating, and wildlife watching. The park is also important for its role in protecting and preserving the unique ecosystem of the Everglades.",0.0,0.932,0.068,0.5574
what country  is the Roosevelt Campobello international park in,"The Roosevelt Campobello International Park is located in Canada, in the province of New Brunswick, but it is jointly administered by both the United States and Canada. The park is situated on Campobello Island, which is connected to the United States by a bridge, but is actually part of Canada.",0.0,0.864,0.136,0.8126
what is the name of the organ pipe cactis desert,"The organ pipe cactus is named after its shape, which resembles the pipes of a church organ. Its scientific name is Stenocereus thurberi, and it is native to the Sonoran Desert in Arizona, California, and Mexico.",0.0,1.0,0.0,0.0
when was last time time volcano erupted in new mexico,"New Mexico does not have any active volcanoes, and the state has not experienced a volcanic eruption in thousands of years. However, there are several extinct volcanoes in the state, such as the Capulin Volcano National Monument and the Valles Caldera National Preserve. The most recent volcanic activity in New Mexico occurred about 60,000 years ago.",0.04,0.96,0.0,-0.3089
when was last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.",0.0,1.0,0.0,0.0
how many people died during pennsylvania flood,"There have been several floods in Pennsylvania throughout history, so it depends on which specific flood you are referring to. Can you please provide more information or context?",0.0,0.922,0.078,0.3182
where are oregon pipe cactuses located in arizona,"Oregon Pipe Cactuses are primarily found in southern Arizona, particularly in the Sonoran Desert. They can be found in areas such as Organ Pipe Cactus National Monument, Saguaro National Park, and the Tucson area.",0.0,1.0,0.0,0.0
organ pipe cactus what is the name of the desert,"The organ pipe cactus is primarily found in the Sonoran Desert, which is located in North America, covering parts of the southwestern United States and northwestern Mexico.",0.0,0.903,0.097,0.4215
when was the last time this volcano erupted in new mexico,"There are no active volcanoes in New Mexico, and the state has not had a volcanic eruption in over 1,000 years. However, there are several extinct volcanoes in the state, including Mount Taylor, which last erupted around 1,600 years ago.",0.053,0.883,0.064,0.128
when was the last time volcano capulin,"Volcano Capulin last erupted approximately 60,000 years ago. It is currently considered to be dormant, meaning that it is not currently erupting but may erupt again in the future.",0.0,1.0,0.0,0.0
what is the country is the roosevelt campobello in ,"Roosevelt Campobello International Park is located on Campobello Island, which is part of New Brunswick, Canada.",0.0,1.0,0.0,0.0
what is the two particular species exist in Florida,"There are many species that exist in Florida, but two particular species that are commonly associated with the state are the Florida panther and the American alligator.",0.0,1.0,0.0,0.0
how many students did gone to a all white school in Arkansas,"I'm sorry, but I don't have access to that information. However, during the period of segregation in Arkansas, many schools were racially segregated, with white students attending separate schools from black students. It wasn't until the landmark Supreme Court case Brown v. Board of Education in 1954 that segregation in schools was deemed unconstitutional.",0.043,0.871,0.085,0.6616
how many students did gone to a all white school in Arkansas in 1957,"In 1957, nine African American students, known as the Little Rock Nine, attempted to enroll in the all-white Little Rock Central High School in Arkansas. However, they were met with resistance from both the Arkansas National Guard and a mob of white protesters, and were only able to attend the school under the protection of federal troops ordered by President Eisenhower.",0.031,0.969,0.0,-0.2263
organ pipe cactus national monument ,"Organ Pipe Cactus National Monument is a protected area located in southern Arizona, USA, near the Mexican border. It is named after the unique organ pipe cactus that grows in the region, and is home to a variety of other desert plants and animals. The park offers hiking trails, scenic drives, camping facilities, and ranger-led programs for visitors to learn about the natural and cultural history of the area. It is also a designated UNESCO Biosphere Reserve, recognizing its important role in conservation and sustainable development.",0.0,0.917,0.083,0.7351
what arizona desert is  organ pipe cactus national monument in?,"Organ Pipe Cactus National Monument is located in the Sonoran Desert in southern Arizona, United States.",0.0,0.843,0.157,0.4215
arizona desert with organ pipe cactus national monument,"Organ Pipe Cactus National Monument is located in the southern part of Arizona's Sonoran Desert. The monument is known for its unique and diverse desert ecosystem, which includes the rare and beautiful organ pipe cactus. Visitors can explore the park's many hiking trails, take scenic drives, and participate in ranger-led programs to learn more about the park's history and natural features. Some of the popular activities in the park include camping, birdwatching, stargazing, and wildlife viewing. If you are planning a trip to the Arizona desert, Organ Pipe Cactus National Monument is definitely worth a visit.",0.0,0.866,0.134,0.9153
what two species exist side by side in everglades national partk,"There are many species that exist side by side in Everglades National Park, but two notable examples are the American alligator and the Florida panther. Both are top predators in the ecosystem and play important roles in maintaining the balance of the food chain. The alligator is a keystone species that creates and maintains wetland habitats, while the Florida panther helps control populations of prey animals such as deer.",0.0,0.823,0.177,0.9109
what lives in everglades national park,"Everglades National Park is home to a diverse range of wildlife including alligators, crocodiles, panthers, manatees, dolphins, turtles, snakes, various species of birds, and many more. The park is also home to several endangered species such as the Florida panther, the American crocodile, and the West Indian manatee.",0.0,1.0,0.0,0.0
when did the capulin volcano last erupt,"The Capulin Volcano last erupted approximately 60,000 years ago. It is currently considered dormant.",0.0,1.0,0.0,0.0
what country is the roosevelt campobello park in,"Roosevelt Campobello Park is located in Canada, in the province of New Brunswick. It is situated on Campobello Island, which is connected to the United States by a bridge, but the park itself is on the Canadian side of the border.",0.0,0.954,0.046,0.2263
what event happened in 1859 between two countries ,"In 1859, the Second Italian War of Independence took place between the Kingdom of Sardinia and the Austrian Empire.",0.178,0.822,0.0,-0.5994
places in pennsylvania to visit,"There are many great places to visit in Pennsylvania! Here are a few suggestions:

1. Philadelphia: Visit the Liberty Bell, Independence Hall, and the Philadelphia Museum of Art.

2. Pittsburgh: Check out the Andy Warhol Museum, the Carnegie Museum of Natural History, and Phipps Conservatory and Botanical Gardens.

3. Hershey: Visit Hershey's Chocolate World and Hersheypark for some sweet fun.

4. Gettysburg: Learn about the Civil War and visit the Gettysburg National Military Park.

5. Lancaster: Take a tour of Amish country and learn about their way of life.

6. Poconos: Enjoy outdoor activities such as hiking, skiing, and water sports.

7. Erie: Visit Presque Isle State Park and the Erie Maritime Museum.

8. Scranton: Explore the Steamtown National Historic Site and the Lackawanna Coal Mine Tour.

9. Allentown: Visit the Dorney Park & Wildwater Kingdom amusement park and the Allentown Art Museum.

10. Valley Forge: Learn about the American Revolution and visit Valley Forge National Historical Park.",0.023,0.849,0.129,0.9545
fun places to visit in pennsylvania,"There are many fun places to visit in Pennsylvania! Here are some options:

1. Hershey's Chocolate World - Hershey, PA
2. Gettysburg National Military Park - Gettysburg, PA
3. Philadelphia Museum of Art - Philadelphia, PA
4. Kennywood Park - Pittsburgh, PA
5. Longwood Gardens - Kennett Square, PA
6. Fallingwater - Mill Run, PA
7. Dutch Wonderland - Lancaster, PA
8. Phipps Conservatory and Botanical Gardens - Pittsburgh, PA
9. Valley Forge National Historical Park - King of Prussia, PA
10. The Andy Warhol Museum - Pittsburgh, PA

These are just a few of the many fun places to visit in Pennsylvania.",0.0,0.929,0.071,0.784
