user_query,common_result,average
when was the last time capulin erupted,"[0.16216216216216217, 0.07317073170731707, 0.14705882352941177, 0.07142857142857142, 0.0]",0.09076405776549248
What year did the Capulin Volcano in New Mexico Last errupt,"[0.15789473684210525, 0.2, 0.10256410256410256, 0.0975609756097561, 0.23529411764705882]",0.15866278653260454
What year did the Capulin Volcano Last errupt,"[0.1891891891891892, 0.22857142857142856, 0.1891891891891892, 0.06976744186046512, 0.075]",0.1503434497620544
In Arizona what dessert is the Organ Pipe Cactus Monument found in,"[0.1111111111111111, 0.13157894736842105, 0.024390243902439025, 0.2727272727272727, 0.10526315789473684]",0.12901414660079616
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,"[0.07894736842105263, 0.17647058823529413, 0.1111111111111111, 0.25806451612903225, 0.17142857142857143]",0.1592044310650123
Witch desert was the Organ Pipe Cactus in,"[0.13513513513513514, 0.1, 0.14634146341463414, 0.125, 0.07142857142857142]",0.11558103399566813
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,"[0.125, 0.16216216216216217, 0.1388888888888889, 0.35714285714285715, 0.15384615384615385]",0.18740801240801241
when was the last time the capulin volcano erupted ,"[0.1590909090909091, 0.061224489795918366, 0.0196078431372549, 0.13636363636363635, 0.06382978723404255]",0.08802333312435225
how many people died in the johnstown flood,"[0.17142857142857143, 0.047619047619047616, 0.08108108108108109, 0.34375, 0.024390243902439025]",0.13365378880622783
what is the desert in arizona that the organ pip cactus is held in,"[0.1891891891891892, 0.1388888888888889, 0.1282051282051282, 0.2, 0.046511627906976744]",0.1405589668380366
organ pipe cactus national monument,"[0.08080808080808081, 0.11458333333333333, 0.038461538461538464, 0.11224489795918367, 0.10101010101010101]",0.08942159031444745
what country is the roosevelt campobello in,"[0.17647058823529413, 0.0847457627118644, 0.10526315789473684, 0.19230769230769232, 0.08928571428571429]",0.1296145830870604
everglades national park,"[0.08860759493670886, 0.16666666666666666, 0.15789473684210525, 0.16883116883116883, 0.1111111111111111]",0.13862225567755213
what country  is the Roosevelt Campobello international park in,"[0.1724137931034483, 0.125, 0.26666666666666666, 0.14814814814814814, 0.2]",0.18244572158365263
