User Query,ChatGPT Result,Google Result,Jaccard Similarity,Cosine Similarity,Euclidean Similarity,Pearson Correlation
when was the last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.","Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",0.16216216216216217,0.4093776101606328,0.47919092919288153,-0.36081469892946805
when was the last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.","Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around ...",0.07317073170731707,0.23267002029884434,0.4466650780911521,-0.5675234969259499
when was the last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.","Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.",0.14705882352941177,0.4335549847620599,0.48440856689675715,-0.4325973605079873
when was the last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.","Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with ...",0.07142857142857142,0.22075539284417392,0.44476177606691825,-0.7490642541583835
when was the last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then.","At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of ...",0.0,0.12780429685269148,0.43089442254005805,-0.7683604711937695
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano last erupted approximately 60,000 years ago. However, it is considered dormant and has not erupted since then.","Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",0.15789473684210525,0.40590605489504306,0.47845967008841445,-0.32814265850783564
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano last erupted approximately 60,000 years ago. However, it is considered dormant and has not erupted since then.","Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano ...",0.2,0.4423258684646914,0.48635754949605153,-0.2764328025752781
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano last erupted approximately 60,000 years ago. However, it is considered dormant and has not erupted since then.","Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.",0.10256410256410256,0.2903816034562511,0.4563465191710208,-0.6033854190402439
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano last erupted approximately 60,000 years ago. However, it is considered dormant and has not erupted since then.","Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.",0.0975609756097561,0.26648544566940835,0.45224112757032425,-0.5751971840630103
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano last erupted approximately 60,000 years ago. However, it is considered dormant and has not erupted since then.","The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic ...",0.23529411764705882,0.471870105616408,0.49315865609441284,-0.3707949772637914
What year did the Capulin Volcano Last errupt,"The most recent eruption of Capulin Volcano occurred around 60,000 years ago. Since then, the volcano has been dormant.","Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",0.1891891891891892,0.4966996338993915,0.4991776203965483,-0.07140775587474789
What year did the Capulin Volcano Last errupt,"The most recent eruption of Capulin Volcano occurred around 60,000 years ago. Since then, the volcano has been dormant.","Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became ...",0.22857142857142856,0.4974683381630911,0.49936868181590055,-0.13056921684443892
What year did the Capulin Volcano Last errupt,"The most recent eruption of Capulin Volcano occurred around 60,000 years ago. Since then, the volcano has been dormant.","The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock, ...",0.1891891891891892,0.4766031238193983,0.49428375864344265,-0.13729435532310186
What year did the Capulin Volcano Last errupt,"The most recent eruption of Capulin Volcano occurred around 60,000 years ago. Since then, the volcano has been dormant.","Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with ...",0.06976744186046512,0.19641855032959654,0.4409677981119841,-0.6841550343106222
What year did the Capulin Volcano Last errupt,"The most recent eruption of Capulin Volcano occurred around 60,000 years ago. Since then, the volcano has been dormant.","Capulin was once believed to be as young as 11,000 years old; however, recent geological studies have dated it at 56,000 to 62,000 years. Capulin Mountain ...",0.075,0.24902912254587614,0.4493296900084985,-0.4694375194841732
In Arizona what dessert is the Organ Pipe Cactus Monument found in,"The Organ Pipe Cactus National Monument is located in the Sonoran Desert of southwestern Arizona, United States.","Jan 6, 2016 ... While the saguaro cactus has become a symbol of the American West, the saguaro cactus will only grow in the Sonoran desert. As a desert ...",0.1111111111111111,0.5247835714059896,0.5063543777398871,0.024771605896722504
