query,entity,label
"when was the last time capulin erupted
","23, 2016",DATE
"when was the last time capulin erupted
","roughly 56,000 to",CARDINAL
"when was the last time capulin erupted
","62,000 years ago",DATE
"when was the last time capulin erupted
",the Raton-Clayton,ORG
"when was the last time capulin erupted
","Mar 10, 2022",DATE
"when was the last time capulin erupted
",Capulin,PERSON
"when was the last time capulin erupted
",Capulin,GPE
"when was the last time capulin erupted
","approximately 60,000 years ago",DATE
"when was the last time capulin erupted
",RCVF,ORG
"when was the last time capulin erupted
","20, 2020",DATE
"when was the last time capulin erupted
",RCVF,ORG
"when was the last time capulin erupted
",approximately 9 million years ago,DATE
"when was the last time capulin erupted
",Capulin,PERSON
"when was the last time capulin erupted
","between 56,000 and 62,000 years ago",CARDINAL
"when was the last time capulin erupted
",Paricutin,PERSON
"when was the last time capulin erupted
",Mexico,GPE
"when was the last time capulin erupted
",1943,DATE
"when was the last time capulin erupted
",Capulin,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
","23, 2016",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
","roughly 56,000 to",CARDINAL
"What year did the Capulin Volcano in New Mexico Last errupt
","62,000 years ago",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",the Raton-Clayton,ORG
"What year did the Capulin Volcano in New Mexico Last errupt
","Mar 10, 2022",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",Capulin Volcano,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
","around 60,000 years ago",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",Capulin Volcano,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
",Capulin,GPE
"What year did the Capulin Volcano in New Mexico Last errupt
","approximately 60,000 years ago",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",RCVF,ORG
"What year did the Capulin Volcano in New Mexico Last errupt
","20, 2020",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",Capulin Volcano,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
",15.7 square miles,QUANTITY
"What year did the Capulin Volcano in New Mexico Last errupt
",New Mexico,GPE
"What year did the Capulin Volcano in New Mexico Last errupt
",Capulin,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
","as young as 11,000 years old",DATE
"What year did the Capulin Volcano in New Mexico Last errupt
",Paricutin,PERSON
"What year did the Capulin Volcano in New Mexico Last errupt
",Mexico,GPE
"What year did the Capulin Volcano in New Mexico Last errupt
",1943,DATE
"What year did the Capulin Volcano Last errupt
","23, 2016",DATE
"What year did the Capulin Volcano Last errupt
","roughly 56,000 to",CARDINAL
"What year did the Capulin Volcano Last errupt
","62,000 years ago",DATE
"What year did the Capulin Volcano Last errupt
",the Raton-Clayton,ORG
"What year did the Capulin Volcano Last errupt
","Mar 10, 2022",DATE
"What year did the Capulin Volcano Last errupt
",Capulin Volcano,PERSON
"What year did the Capulin Volcano Last errupt
","around 60,000 years ago",DATE
"What year did the Capulin Volcano Last errupt
",Capulin Volcano,PERSON
"What year did the Capulin Volcano Last errupt
","more than 60,000 years ago",DATE
"What year did the Capulin Volcano Last errupt
","20, 2020",DATE
"What year did the Capulin Volcano Last errupt
",RCVF,ORG
"What year did the Capulin Volcano Last errupt
",approximately 9 million years ago,DATE
"What year did the Capulin Volcano Last errupt
",Capulin,PERSON
"What year did the Capulin Volcano Last errupt
","between 56,000 and 62,000 years ago",CARDINAL
"What year did the Capulin Volcano Last errupt
",Paricutin,PERSON
"What year did the Capulin Volcano Last errupt
",Mexico,GPE
"What year did the Capulin Volcano Last errupt
",1943,DATE
"What year did the Capulin Volcano Last errupt
",Capulin,PERSON
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","Dec 19, 2022",DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Sonoran Desert,PERSON
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Mexican,NORP
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Organ Pipe Cactus,ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","15, 2015",DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",the Organ Pipe Cactus National Monument,ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",2002,DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",America,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","Organ Pipe Cactus National Monument, Ajo Picture",ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",arizona,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Tripadvisor,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",650,CARDINAL
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",664 miles,QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","1,069km",QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",25790,DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","7,861 meters",QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",last Sunday,DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Rue,PERSON
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",Organ Pipe Cactus National Monument,ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","Dec 19, 2022",DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Arizona,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Organ Pipe Cactus National Monument,ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Arizona,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","""The Wall",WORK_OF_ART
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",more than 100,CARDINAL
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","15, 2015",DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Arizona,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Sonoran Desert,PERSON
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Organ Pipe Cactus National Monument,ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Mexican,NORP
