query,response
when was the last time capulin erupted,"The Capulin Volcano last erupted over 60,000 years ago, and it is currently considered to be dormant."
What year did the Capulin Volcano in New Mexico Last errupt,"The Capulin Volcano in New Mexico last erupted about 60,000 years ago. It is currently considered to be dormant, meaning that it is not currently erupting but could potentially erupt again in the future."
What year did the Capulin Volcano Last errupt,"The Capulin Volcano last erupted over 60,000 years ago. It is now considered dormant."
In Arizona what dessert is the Organ Pipe Cactus Monument found in,"The Organ Pipe Cactus Monument is found in the Sonoran Desert, which is a desert region in the southwestern United States, including the state of Arizona."
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,"The Organ Pipe Cactus National Monument is located in the Sonoran Desert of southwestern Arizona, United States."
Witch desert was the Organ Pipe Cactus in,"The Organ Pipe Cactus is found in the Sonoran Desert, which spans across parts of California, Arizona, and Mexico."
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,The desert you are referring to is called the Organ Pipe Cactus National Monument. It is located in southern Arizona and shares a border with Mexico.
when was the last time the capulin volcano erupted ,"The last known eruption of the Capulin Volcano was about 60,000 years ago. Since then, the volcano has been dormant and is now considered extinct."
how many people died in the johnstown flood,"The Johnstown Flood occurred on May 31, 1889, in Johnstown, Pennsylvania, USA. It was caused by the failure of the South Fork Dam, which resulted in a massive flood that killed over 2,200 people."
what is the desert in arizona that the organ pip cactus is held in,The desert in Arizona where the Organ Pipe Cactus is found is the Sonoran Desert.
organ pipe cactus national monument,"Organ Pipe Cactus National Monument is a national park located in southern Arizona, United States. It is named after the organ pipe cactus, which is a type of cactus that grows in the area. The monument covers an area of over 330,000 acres and is home to a diverse range of plant and animal species. It is also a UNESCO biosphere reserve and a designated wilderness area. Visitors to the park can enjoy hiking, camping, wildlife watching, and stargazing, among other activities."
what country is the roosevelt campobello in,"Roosevelt Campobello International Park is located in Canada, on Campobello Island in the province of New Brunswick. It is a joint park between Canada and the United States."
everglades national park,"Everglades National Park is a national park located in southern Florida, USA. It is the largest subtropical wilderness in the United States and is home to a diverse array of wildlife, including alligators, panthers, and manatees. The park offers a variety of activities, including hiking, camping, boating, and wildlife watching. The park is also important for its role in protecting and preserving the unique ecosystem of the Everglades."
what country  is the Roosevelt Campobello international park in,"The Roosevelt Campobello International Park is located in Canada, in the province of New Brunswick, but it is jointly administered by both the United States and Canada. The park is situated on Campobello Island, which is connected to the United States by a bridge, but is actually part of Canada."
what is the name of the organ pipe cactis desert,"The organ pipe cactus is named after its shape, which resembles the pipes of a church organ. Its scientific name is Stenocereus thurberi, and it is native to the Sonoran Desert in Arizona, California, and Mexico."
when was last time time volcano erupted in new mexico,"New Mexico does not have any active volcanoes, and the state has not experienced a volcanic eruption in thousands of years. However, there are several extinct volcanoes in the state, such as the Capulin Volcano National Monument and the Valles Caldera National Preserve. The most recent volcanic activity in New Mexico occurred about 60,000 years ago."
when was last time capulin erupted,"The Capulin Volcano in New Mexico last erupted approximately 60,000 years ago. It has been dormant since then."
how many people died during pennsylvania flood,"There have been several floods in Pennsylvania throughout history, so it depends on which specific flood you are referring to. Can you please provide more information or context?"
where are oregon pipe cactuses located in arizona,"Oregon Pipe Cactuses are primarily found in southern Arizona, particularly in the Sonoran Desert. They can be found in areas such as Organ Pipe Cactus National Monument, Saguaro National Park, and the Tucson area."
organ pipe cactus what is the name of the desert,"The organ pipe cactus is primarily found in the Sonoran Desert, which is located in North America, covering parts of the southwestern United States and northwestern Mexico."
when was the last time this volcano erupted in new mexico,"There are no active volcanoes in New Mexico, and the state has not had a volcanic eruption in over 1,000 years. However, there are several extinct volcanoes in the state, including Mount Taylor, which last erupted around 1,600 years ago."
when was the last time volcano capulin,"Volcano Capulin last erupted approximately 60,000 years ago. It is currently considered to be dormant, meaning that it is not currently erupting but may erupt again in the future."
what is the country is the roosevelt campobello in ,"Roosevelt Campobello International Park is located on Campobello Island, which is part of New Brunswick, Canada."
what is the two particular species exist in Florida,"There are many species that exist in Florida, but two particular species that are commonly associated with the state are the Florida panther and the American alligator."
how many students did gone to a all white school in Arkansas,"I'm sorry, but I don't have access to that information. However, during the period of segregation in Arkansas, many schools were racially segregated, with white students attending separate schools from black students. It wasn't until the landmark Supreme Court case Brown v. Board of Education in 1954 that segregation in schools was deemed unconstitutional."
